Sentence,Tags,Dependencies,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb,Verb Lemma,Verb Tag,Relation to Verb,Verb Adverbial Modifier,Verb Negation,Auxillary,Copula Other Tag,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compound Head,Compound Modifiers,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Plurality of Noun,Bareness of Noun,Plurality of Verb,"length of chain, is_head, is_corrupted, absolute location in chain, relative location in chain, distance from previous mention",Parse Error,Origin,A+N,F+N,all+N,O-Den,Allan Test Result,Denumerator,Allan Type,SubType,Magnitude
The annual $3.6-billion interest bill on this debt consumes about 50 percent of the earnings on Poland 's merchandise exports to the West .,The/the/DT annual/annual/JJ $/$/$ 3.6-billion/3.6-billion/CD interest/interest/NN bill/bill/NN on/on/IN this/this/DT debt/debt/NN consumes/consume/VBZ about/about/IN 50/50/CD percent/percent/NN of/of/IN the/the/DT earnings/earnings/NNS on/on/IN Poland/Poland/NNP 's/'s/POS merchandise/merchandise/NN exports/export/NNS to/to/TO the/the/DT West/West/NNP ././. ,"ROOT (ROOT-0, consumes-10) det (bill-6, The-1) amod (bill-6, annual-2) amod (bill-6, $-3) nummod ($-3, 3.6-billion-4) compound (bill-6, interest-5) nsubj (consumes-10, bill-6) case (debt-9, on-7) det (debt-9, this-8) nmod:on (bill-6, debt-9) case (percent-13, about-11) nummod (percent-13, 50-12) nmod:about (consumes-10, percent-13) case (earnings-16, of-14) det (earnings-16, the-15) nmod:of (percent-13, earnings-16) case (exports-21, on-17) nmod:poss (exports-21, Poland-18) case (Poland-18, 's-19) compound (exports-21, merchandise-20) nmod:on (earnings-16, exports-21) case (West-24, to-22) det (West-24, the-23) nmod:to (consumes-10, West-24) punct (consumes-10, .-25) ",merchandise,20,"compound (exports-21, merchandise-20) ",earnings on Poland 's merchandise exports to the West .,NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['exports'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
The organization also adopted a formula for a joint resident 's card and for an agreement ensuring interstate road transit of merchandise .,The/the/DT organization/organization/NN also/also/RB adopted/adopt/VBD a/a/DT formula/formula/NN for/for/IN a/a/DT joint/joint/JJ resident/resident/NN 's/'s/POS card/card/NN and/and/CC for/for/IN an/a/DT agreement/agreement/NN ensuring/ensure/VBG interstate/interstate/JJ road/road/NN transit/transit/NN of/of/IN merchandise/merchandise/NN ././. ,"ROOT (ROOT-0, adopted-4) det (organization-2, The-1) nsubj (adopted-4, organization-2) nsubj (adopted-4, organization-2) advmod (adopted-4, also-3) conj:and (adopted-4, adopted-4) det (formula-6, a-5) dobj (adopted-4, formula-6) case (card-12, for-7) det (resident-10, a-8) amod (resident-10, joint-9) nmod:poss (card-12, resident-10) case (resident-10, 's-11) nmod:for (adopted-4, card-12) cc (adopted-4, and-13) case (agreement-16, for-14) det (agreement-16, an-15) nmod:for (adopted-4, agreement-16) acl (agreement-16, ensuring-17) amod (transit-20, interstate-18) compound (transit-20, road-19) dobj (ensuring-17, transit-20) case (merchandise-22, of-21) nmod:of (transit-20, merchandise-22) punct (adopted-4, .-23) ",merchandise,22,"case (merchandise-22, of-21) nmod:of (transit-20, merchandise-22) ",ensuring interstate road transit of merchandise .,NN,[],,,,,[],[],[],,"[('of', 'transit', 20)]",['of'],[],['transit'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
Peruvian negotiators originally proposed an arrangement by which Peru would deliver the equivalent of a dollar in merchandise in return for which the Soviet Union would purchase two dollars in other products .,Peruvian/peruvian/JJ negotiators/negotiator/NNS originally/originally/RB proposed/propose/VBD an/a/DT arrangement/arrangement/NN by/by/IN which/which/WDT Peru/Peru/NNP would/would/MD deliver/deliver/VB the/the/DT equivalent/equivalent/NN of/of/IN a/a/DT dollar/dollar/NN in/in/IN merchandise/merchandise/NN in/in/IN return/return/NN for/for/IN which/which/WDT the/the/DT Soviet/Soviet/NNP Union/Union/NNP would/would/MD purchase/purchase/VB two/two/CD dollars/dollar/NNS in/in/IN other/other/JJ products/product/NNS ././. ,"ROOT (ROOT-0, proposed-4) amod (negotiators-2, Peruvian-1) nsubj (proposed-4, negotiators-2) advmod (proposed-4, originally-3) det (arrangement-6, an-5) dobj (proposed-4, arrangement-6) mark (deliver-11, by-7) dobj (deliver-11, which-8) nsubj (deliver-11, Peru-9) aux (deliver-11, would-10) advcl:by (proposed-4, deliver-11) det (equivalent-13, the-12) dobj (deliver-11, equivalent-13) case (dollar-16, of-14) det (dollar-16, a-15) nmod:of (equivalent-13, dollar-16) case (merchandise-18, in-17) nmod:in (dollar-16, merchandise-18) case (return-20, in-19) nmod:in (deliver-11, return-20) nmod:for (purchase-27, return-20) case (which-22, for-21) ref (return-20, which-22) det (Union-25, the-23) compound (Union-25, Soviet-24) nsubj (purchase-27, Union-25) aux (purchase-27, would-26) acl:relcl (return-20, purchase-27) nummod (dollars-29, two-28) dobj (purchase-27, dollars-29) case (products-32, in-30) amod (products-32, other-31) nmod:in (dollars-29, products-32) punct (proposed-4, .-33) ",merchandise,18,"case (merchandise-18, in-17) nmod:in (dollar-16, merchandise-18) ",equivalent of a dollar in merchandise in return for which the,NN,[],,,,,[],[],[],,"[('in', 'dollar', 16)]",['in'],[],['dollar'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['in'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_1.csv,0,0,0,0,unknown,,,,
"However , most of the merchandise exports are from Colombia to the United States , and most of the investments in dollar-denominated financial assets are owned by Colombians ( i.e. , capital exports by the United States ) .","However/however/RB ,/,/, most/most/JJS of/of/IN the/the/DT merchandise/merchandise/NN exports/export/NNS are/be/VBP from/from/IN Colombia/Colombia/NNP to/to/TO the/the/DT United/United/NNP States/States/NNPS ,/,/, and/and/CC most/most/JJS of/of/IN the/the/DT investments/investment/NNS in/in/IN dollar-denominated/dollar-denominated/JJ financial/financial/JJ assets/asset/NNS are/be/VBP owned/own/VBN by/by/IN Colombians/colombian/NNS -LRB-/-lrb-/-LRB- i.e./i.e./FW ,/,/, capital/capital/NN exports/export/NNS by/by/IN the/the/DT United/United/NNP States/States/NNPS -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, Colombia-10) advmod (Colombia-10, However-1) punct (Colombia-10, ,-2) nsubj (Colombia-10, most-3) case (exports-7, of-4) det (exports-7, the-5) compound (exports-7, merchandise-6) nmod:of (most-3, exports-7) cop (Colombia-10, are-8) case (Colombia-10, from-9) case (States-14, to-11) det (States-14, the-12) compound (States-14, United-13) nmod:to (Colombia-10, States-14) punct (Colombia-10, ,-15) cc (Colombia-10, and-16) nsubjpass (owned-26, most-17) case (investments-20, of-18) det (investments-20, the-19) nmod:of (most-17, investments-20) case (assets-24, in-21) amod (assets-24, dollar-denominated-22) amod (assets-24, financial-23) nmod:in (investments-20, assets-24) auxpass (owned-26, are-25) conj:and (Colombia-10, owned-26) case (Colombians-28, by-27) nmod:agent (owned-26, Colombians-28) punct (i.e.-30, (-29) dep (owned-26, i.e.-30) punct (i.e.-30, ,-31) compound (exports-33, capital-32) appos (i.e.-30, exports-33) case (States-37, by-34) det (States-37, the-35) compound (States-37, United-36) nmod:by (i.e.-30, States-37) punct (i.e.-30, )-38) punct (Colombia-10, .-39) ",merchandise,6,"compound (exports-7, merchandise-6) ","However , most of the merchandise exports are from Colombia to",NN,[],,,,,[],[],[],,[],[],[],[],[],[],[],[],[],['exports'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"As a crossroads center , Xinguara boasted sixty-two restaurants , bars , and hotels ; seventy-four food stores , including two supermarkets ; eighty stores for clothes , furniture , drugs , and household items ; eighteen outlets for construction materials , machines , agricultural supplies , and general merchandise and equipment ; forty-eight service stations and repair shops ; nine transportation lines ; six hospitals ; three schools ; and six governmental agencies ( Volbeda 1986 ) .","As/as/IN a/a/DT crossroads/crossroads/NNS center/center/NN ,/,/, Xinguara/xinguara/NN boasted/boast/VBD sixty-two/sixty-two/CD restaurants/restaurant/NNS ,/,/, bars/bar/NNS ,/,/, and/and/CC hotels/hotel/NNS ;/;/: seventy-four/seventy-four/CD food/food/NN stores/store/NNS ,/,/, including/include/VBG two/two/CD supermarkets/supermarket/NNS ;/;/: eighty/eighty/CD stores/store/NNS for/for/IN clothes/clothes/NNS ,/,/, furniture/furniture/NN ,/,/, drugs/drug/NNS ,/,/, and/and/CC household/household/NN items/item/NNS ;/;/: eighteen/eighteen/CD outlets/outlet/NNS for/for/IN construction/construction/NN materials/material/NNS ,/,/, machines/machine/NNS ,/,/, agricultural/agricultural/JJ supplies/supplies/NNS ,/,/, and/and/CC general/general/JJ merchandise/merchandise/NN and/and/CC equipment/equipment/NN ;/;/: forty-eight/forty-eight/CD service/service/NN stations/station/NNS and/and/CC repair/repair/NN shops/shop/NNS ;/;/: nine/nine/CD transportation/transportation/NN lines/line/NNS ;/;/: six/six/CD hospitals/hospital/NNS ;/;/: three/three/CD schools/school/NNS ;/;/: and/and/CC six/six/CD governmental/governmental/JJ agencies/agency/NNS -LRB-/-lrb-/-LRB- Volbeda/Volbeda/NNP 1986/1986/CD -RRB-/-rrb-/-RRB- ././. ","ROOT (ROOT-0, boasted-7) case (center-4, As-1) det (center-4, a-2) compound (center-4, crossroads-3) nmod:as (boasted-7, center-4) punct (boasted-7, ,-5) nsubj (boasted-7, Xinguara-6) nummod (restaurants-9, sixty-two-8) dobj (boasted-7, restaurants-9) punct (restaurants-9, ,-10) dobj (boasted-7, bars-11) conj:and (restaurants-9, bars-11) punct (restaurants-9, ,-12) cc (restaurants-9, and-13) dobj (boasted-7, hotels-14) conj:and (restaurants-9, hotels-14) punct (restaurants-9, ;-15) nummod (stores-18, seventy-four-16) compound (stores-18, food-17) dep (restaurants-9, stores-18) punct (stores-18, ,-19) case (supermarkets-22, including-20) nummod (supermarkets-22, two-21) nmod:including (stores-18, supermarkets-22) punct (supermarkets-22, ;-23) nummod (stores-25, eighty-24) nmod:including (stores-18, stores-25) conj:and (supermarkets-22, stores-25) case (drugs-31, for-26) compound (drugs-31, clothes-27) punct (drugs-31, ,-28) dep (drugs-31, furniture-29) punct (drugs-31, ,-30) nmod:for (stores-25, drugs-31) punct (drugs-31, ,-32) cc (drugs-31, and-33) compound (items-35, household-34) nmod:for (stores-25, items-35) conj:and (drugs-31, items-35) punct (supermarkets-22, ;-36) nummod (outlets-38, eighteen-37) nmod:including (stores-18, outlets-38) conj:and (supermarkets-22, outlets-38) case (materials-41, for-39) compound (materials-41, construction-40) nmod:for (outlets-38, materials-41) punct (materials-41, ,-42) nmod:for (outlets-38, machines-43) conj:and (materials-41, machines-43) punct (materials-41, ,-44) amod (supplies-46, agricultural-45) nmod:for (outlets-38, supplies-46) conj:and (materials-41, supplies-46) punct (materials-41, ,-47) cc (materials-41, and-48) amod (merchandise-50, general-49) nmod:for (outlets-38, merchandise-50) conj:and (materials-41, merchandise-50) cc (merchandise-50, and-51) conj:and (materials-41, equipment-52) conj:and (merchandise-50, equipment-52) punct (supermarkets-22, ;-53) nummod (stations-56, forty-eight-54) compound (stations-56, service-55) nmod:including (stores-18, stations-56) conj:and (supermarkets-22, stations-56) cc (stations-56, and-57) compound (shops-59, repair-58) conj:and (supermarkets-22, shops-59) conj:and (stations-56, shops-59) punct (supermarkets-22, ;-60) nummod (lines-63, nine-61) compound (lines-63, transportation-62) nmod:including (stores-18, lines-63) conj:and (supermarkets-22, lines-63) punct (supermarkets-22, ;-64) nummod (hospitals-66, six-65) nmod:including (stores-18, hospitals-66) conj:and (supermarkets-22, hospitals-66) punct (supermarkets-22, ;-67) nummod (schools-69, three-68) nmod:including (stores-18, schools-69) conj:and (supermarkets-22, schools-69) punct (supermarkets-22, ;-70) cc (supermarkets-22, and-71) nummod (agencies-74, six-72) amod (agencies-74, governmental-73) nmod:including (stores-18, agencies-74) conj:and (supermarkets-22, agencies-74) punct (Volbeda-76, (-75) appos (agencies-74, Volbeda-76) nummod (Volbeda-76, 1986-77) punct (Volbeda-76, )-78) punct (boasted-7, .-79) ",merchandise,50,"amod (merchandise-50, general-49) nmod:for (outlets-38, merchandise-50) conj:and (materials-41, merchandise-50) cc (merchandise-50, and-51) conj:and (merchandise-50, equipment-52) ","agricultural supplies , and general merchandise and equipment ; forty-eight service",NN,[],,,,,[],[],[],,"[('for', 'outlets', 38)]",['for'],[],['outlets'],[],[],"[('and', 'materials', 41), ('and', 'equipment', 52)]","['and', 'and']","[materials-41, equipment-52]",[],[],['general'],[0.0175],[0.033583333333333326],[0.0175],[0.015],[0.09166666666666667],[0.035],[0.08812499999999998],[0.14708333333333332],[0.12],[0.16583333333333336],[0.103125],[0.16558333333333333],[0.0],[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"Virtually all merchandise sold in town is imported from the south , and the most valuable resources tend to be sent to the southern metropolises .","Virtually/virtually/RB all/all/DT merchandise/merchandise/NN sold/sell/VBN in/in/IN town/town/NN is/be/VBZ imported/import/VBN from/from/IN the/the/DT south/south/NN ,/,/, and/and/CC the/the/DT most/most/RBS valuable/valuable/JJ resources/resource/NNS tend/tend/VBP to/to/TO be/be/VB sent/send/VBN to/to/TO the/the/DT southern/southern/JJ metropolises/metropolis/NNS ././. ","ROOT (ROOT-0, imported-8) advmod (merchandise-3, Virtually-1) det (merchandise-3, all-2) nsubjpass (imported-8, merchandise-3) acl (merchandise-3, sold-4) case (town-6, in-5) nmod:in (sold-4, town-6) auxpass (imported-8, is-7) case (south-11, from-9) det (south-11, the-10) nmod:from (imported-8, south-11) punct (imported-8, ,-12) cc (imported-8, and-13) det (resources-17, the-14) advmod (resources-17, most-15) amod (resources-17, valuable-16) nsubj (tend-18, resources-17) nsubjpass:xsubj (sent-21, resources-17) conj:and (imported-8, tend-18) mark (sent-21, to-19) auxpass (sent-21, be-20) xcomp (tend-18, sent-21) case (metropolises-25, to-22) det (metropolises-25, the-23) amod (metropolises-25, southern-24) nmod:to (sent-21, metropolises-25) punct (imported-8, .-26) ",merchandise,3,"advmod (merchandise-3, Virtually-1) det (merchandise-3, all-2) nsubjpass (imported-8, merchandise-3) acl (merchandise-3, sold-4) ",Virtually all merchandise sold in town is imported,NN,[],imported-8,import,VBN,passive,[],[],[],,[],[],[],[],['all'],['quantifier'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],['Virtually'],[],[],[],[],[],singular,linked,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,1,0,uncountable,,,,
Although the bulk of the merchandise the men had purchased remained in Irakau 's new tradestore.,Although/although/IN the/the/DT bulk/bulk/NN of/of/IN the/the/DT merchandise/merchandise/NN the/the/DT men/man/NNS had/have/VBD purchased/purchase/VBN remained/remain/VBD in/in/IN Irakau/Irakau/NNP 's/'s/POS new/new/JJ tradestore/tradestore/NN ././. ,"ROOT (ROOT-0, remained-11) mark (purchased-10, Although-1) det (bulk-3, the-2) nsubj (purchased-10, bulk-3) case (merchandise-6, of-4) det (merchandise-6, the-5) nmod:of (bulk-3, merchandise-6) det (men-8, the-7) dep (merchandise-6, men-8) aux (purchased-10, had-9) csubj (remained-11, purchased-10) case (tradestore-16, in-12) nmod:poss (tradestore-16, Irakau-13) case (Irakau-13, 's-14) amod (tradestore-16, new-15) nmod:in (remained-11, tradestore-16) punct (remained-11, .-17) ",merchandise,6,"case (merchandise-6, of-4) det (merchandise-6, the-5) nmod:of (bulk-3, merchandise-6) dep (merchandise-6, men-8) ",Although the bulk of the merchandise the men had purchased remained,NN,[],,,,,[],[],[],,"[('of', 'bulk', 3)]",['of'],[],['bulk'],['the'],['definite article'],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,the,non-Denumerator,the,
"Accounts are kept in pencil in a notebook , and customers come by weekly to make payments and pick up more merchandise .","Accounts/Accounts/NNPS are/be/VBP kept/keep/VBN in/in/IN pencil/pencil/NN in/in/IN a/a/DT notebook/notebook/NN ,/,/, and/and/CC customers/customer/NNS come/come/VBN by/by/IN weekly/weekly/JJ to/to/TO make/make/VB payments/payment/NNS and/and/CC pick/pick/VB up/up/RP more/more/JJR merchandise/merchandise/NN ././. ","ROOT (ROOT-0, kept-3) nsubjpass (kept-3, Accounts-1) auxpass (kept-3, are-2) case (pencil-5, in-4) nmod:in (kept-3, pencil-5) case (notebook-8, in-6) det (notebook-8, a-7) nmod:in (pencil-5, notebook-8) punct (kept-3, ,-9) cc (kept-3, and-10) nsubj (come-12, customers-11) nsubj:xsubj (make-16, customers-11) nsubj:xsubj (pick-19, customers-11) conj:and (kept-3, come-12) case (weekly-14, by-13) nmod:by (come-12, weekly-14) mark (make-16, to-15) xcomp (come-12, make-16) dobj (make-16, payments-17) cc (make-16, and-18) xcomp (come-12, pick-19) conj:and (make-16, pick-19) compound:prt (pick-19, up-20) amod (merchandise-22, more-21) dobj (pick-19, merchandise-22) punct (kept-3, .-23) ",merchandise,22,"amod (merchandise-22, more-21) dobj (pick-19, merchandise-22) ",payments and pick up more merchandise .,NN,[],pick-19,pick,VB,object,[],[],[],,[],[],[],[],[],[],[],[],[],[],[],['more'],[0.025],[0.053125],[0.0225],[0.011875],[0.086],[0.0475],[0.12375],[0.235],[0.04875],[0.133125],[0.10337500000000001],[0.09625],[0.01375],[],[],[],[],[],[],[],[],[],[],singular,bare singular,ambiguous,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
"Among sellers of ready-made clothing and petty merchandise obtained from warehouses in the capital , for instance , sellers from Guatemala City account for fewer than one seller in five .","Among/among/IN sellers/seller/NNS of/of/IN ready-made/ready-made/JJ clothing/clothing/NN and/and/CC petty/petty/NN merchandise/merchandise/NN obtained/obtain/VBN from/from/IN warehouses/warehouse/NNS in/in/IN the/the/DT capital/capital/NN ,/,/, for/for/IN instance/instance/NN ,/,/, sellers/seller/NNS from/from/IN Guatemala/Guatemala/NNP City/City/NNP account/account/NN for/for/IN fewer/fewer/JJR than/than/IN one/one/CD seller/seller/NN in/in/IN five/five/CD ././. ","ROOT (ROOT-0, sellers-2) case (sellers-2, Among-1) case (clothing-5, of-3) amod (clothing-5, ready-made-4) nmod:of (sellers-2, clothing-5) cc (clothing-5, and-6) compound (merchandise-8, petty-7) nmod:of (sellers-2, merchandise-8) conj:and (clothing-5, merchandise-8) acl (clothing-5, obtained-9) case (warehouses-11, from-10) nmod:from (obtained-9, warehouses-11) case (capital-14, in-12) det (capital-14, the-13) nmod:in (warehouses-11, capital-14) punct (sellers-2, ,-15) case (instance-17, for-16) nmod:for (sellers-2, instance-17) punct (instance-17, ,-18) appos (instance-17, sellers-19) case (account-23, from-20) compound (account-23, Guatemala-21) compound (account-23, City-22) nmod:from (sellers-19, account-23) case (seller-28, for-24) advmod (one-27, fewer-25) advmod (one-27, than-26) nummod (seller-28, one-27) nmod:for (sellers-2, seller-28) case (five-30, in-29) nmod:in (seller-28, five-30) punct (sellers-2, .-31) ",merchandise,8,"compound (merchandise-8, petty-7) nmod:of (sellers-2, merchandise-8) conj:and (clothing-5, merchandise-8) ",of ready-made clothing and petty merchandise obtained from warehouses in the,NN,[],,,,,[],[],[],,"[('of', 'sellers', 2)]",['of'],[],['sellers'],[],[],"[('and', 'clothing', 5)]",['and'],[clothing-5],[],['petty'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],singular,linked,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
The man and marriage are both described in terms of merchandise .,The/the/DT man/man/NN and/and/CC marriage/marriage/NN are/be/VBP both/both/DT described/describe/VBN in/in/IN terms/term/NNS of/of/IN merchandise/merchandise/NN ././. ,"ROOT (ROOT-0, described-7) det (man-2, The-1) nsubjpass (described-7, man-2) cc (man-2, and-3) conj:and (man-2, marriage-4) nsubjpass (described-7, marriage-4) auxpass (described-7, are-5) advmod (described-7, both-6) case (terms-9, in-8) nmod:in (described-7, terms-9) case (merchandise-11, of-10) nmod:of (terms-9, merchandise-11) punct (described-7, .-12) ",merchandise,11,"case (merchandise-11, of-10) nmod:of (terms-9, merchandise-11) ",both described in terms of merchandise .,NN,[],,,,,[],[],[],,"[('of', 'terms', 9)]",['of'],[],['terms'],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
This can be accomplished by raising the quality of EC merchandise to world competitive levels and legislating systems of standards and quality control .,This/this/DT can/can/MD be/be/VB accomplished/accomplish/VBN by/by/IN raising/raise/VBG the/the/DT quality/quality/NN of/of/IN EC/EC/NNP merchandise/merchandise/NN to/to/TO world/world/NN competitive/competitive/JJ levels/level/NNS and/and/CC legislating/legislating/NN systems/system/NNS of/of/IN standards/standard/NNS and/and/CC quality/quality/NN control/control/NN ././. ,"ROOT (ROOT-0, accomplished-4) nsubjpass (accomplished-4, This-1) aux (accomplished-4, can-2) auxpass (accomplished-4, be-3) mark (raising-6, by-5) advcl:by (accomplished-4, raising-6) det (quality-8, the-7) dobj (raising-6, quality-8) case (merchandise-11, of-9) compound (merchandise-11, EC-10) nmod:of (quality-8, merchandise-11) case (levels-15, to-12) compound (levels-15, world-13) amod (levels-15, competitive-14) nmod:to (raising-6, levels-15) cc (levels-15, and-16) compound (systems-18, legislating-17) nmod:to (raising-6, systems-18) conj:and (levels-15, systems-18) case (standards-20, of-19) nmod:of (systems-18, standards-20) cc (standards-20, and-21) compound (control-23, quality-22) nmod:of (systems-18, control-23) conj:and (standards-20, control-23) punct (accomplished-4, .-24) ",merchandise,11,"case (merchandise-11, of-9) compound (merchandise-11, EC-10) nmod:of (quality-8, merchandise-11) ",raising the quality of EC merchandise to world competitive levels and,NN,[],,,,,[],[],[],,"[('of', 'quality', 8)]",['of'],[],['quality'],[],[],[],[],[],[],['EC'],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
The other day someone was telling me that we are approaching the end of the golden age of shoddy merchandise .,The/the/DT other/other/JJ day/day/NN someone/someone/NN was/be/VBD telling/tell/VBG me/I/PRP that/that/IN we/we/PRP are/be/VBP approaching/approach/VBG the/the/DT end/end/NN of/of/IN the/the/DT golden/golden/JJ age/age/NN of/of/IN shoddy/shoddy/JJ merchandise/merchandise/NN ././. ,"ROOT (ROOT-0, telling-6) det (someone-4, The-1) amod (someone-4, other-2) compound (someone-4, day-3) nsubj (telling-6, someone-4) aux (telling-6, was-5) dobj (telling-6, me-7) mark (approaching-11, that-8) nsubj (approaching-11, we-9) aux (approaching-11, are-10) ccomp (telling-6, approaching-11) det (end-13, the-12) dobj (approaching-11, end-13) case (age-17, of-14) det (age-17, the-15) amod (age-17, golden-16) nmod:of (end-13, age-17) case (merchandise-20, of-18) amod (merchandise-20, shoddy-19) nmod:of (age-17, merchandise-20) punct (telling-6, .-21) ",merchandise,20,"case (merchandise-20, of-18) amod (merchandise-20, shoddy-19) nmod:of (age-17, merchandise-20) ",the golden age of shoddy merchandise .,NN,[],,,,,[],[],[],,"[('of', 'age', 17)]",['of'],[],['age'],[],[],[],[],[],[],[],['shoddy'],[0.057999999999999996],[0.0275],[0.067],[0.03],[0.02],[0.005],[0.0225],[0.025],[0.0425],[0.0075],[0.6525],[0.035],[0.0075],[],[],[],['of'],[],[],[],[],[],[],singular,bare singular,,,False,/scratch/awahlang/COCAFiles/COCA/academic/tryAgain/completed/batch1/w_acad_1990.txt_2.csv,0,0,0,0,unknown,,,,
